label,text,text_,tokens_text_,tokens_text_length_
outros,"5. Assim, o débito vencido da(o) ré(u), devidamente atualizado até 21/09/2016 pelos encargos contratados importa em R$18.203,77 (dezoito mil, du - zentos e três reais e setenta e sete centavos) (doc. nº 05), sendo que o valor total para fins de purgação da mora em R$22.203,61 (vinte e dois mil, duzentos e três reais e sessenta e um centavos).",assim debito vencido re devidamente atualizado ate encargos contratados importa dezoito mil du zentos tres reais setenta sete centavos doc sendo valor total fins purgacao mora vinte dois mil duzentos tres reais sessenta centavos,"['assim', 'debito', 'vencido', 're', 'devidamente', 'atualizado', 'ate', 'encargos', 'contratados', 'importa', 'dezoito', 'mil', 'du', 'zentos', 'tres', 'reais', 'setenta', 'sete', 'centavos', 'doc', 'sendo', 'valor', 'total', 'fins', 'purgacao', 'mora', 'vinte', 'dois', 'mil', 'duzentos', 'tres', 'reais', 'sessenta', 'centavos']",34
constituicao_mora,"4. O autor, seguindo os procedimentos estabelecidos pela Lei 13.043/14, constituiu a mora da(o) ré(u), por meio da notificação formalizada por car- ta registrada com aviso de recebimento (doc. nº 04).",autor seguindo procedimentos estabelecidos lei constituiu mora re meio notificacao formalizada car ta registrada aviso recebimento doc,"['autor', 'seguindo', 'procedimentos', 'estabelecidos', 'lei', 'constituiu', 'mora', 're', 'meio', 'notificacao', 'formalizada', 'car', 'ta', 'registrada', 'aviso', 'recebimento', 'doc']",17
inadimplemento,"3. Ocorre, porém, que a(o) ré(u) tornou-se inadimplente, deixan- do de efetuar o pagamento das prestações a partir de 02/05/2015, incorrendo em mora desde então, nos termos do artigo 2º e § 2º, do Decreto-Lei 911/69, com as alterações da Lei 13.043/14.",ocorre porem re tornou inadimplente deixan efetuar pagamento prestacoes partir incorrendo mora desde entao termos artigo SS decreto lei alteracoes lei,"['ocorre', 'porem', 're', 'tornou', 'inadimplente', 'deixan', 'efetuar', 'pagamento', 'prestacoes', 'partir', 'incorrendo', 'mora', 'desde', 'entao', 'termos', 'artigo', 'SS', 'decreto', 'lei', 'alteracoes', 'lei']",21
alienacao_fiduciaria,"2. Em garantia das obrigações assumidas a(o) ré(u) transferiu em Alienação Fiduciária, o bem descrito no supramencionado contrato a saber: Auto- móvel, marca: Volkswagen, modelo: GOL HIGHWAY-II 16V 1.0MI, ano de fabricação/modelo: 2003/2003, cor: PRATA, chassi: 9BWCA05XX3T163473, placas: CXG0883.",garantia obrigacoes assumidas re transferiu alienacao fiduciaria bem descrito supramencionado contrato saber auto movel marca volkswagen modelo gol highway ii ano fabricacao modelo cor prata chassi placas,"['garantia', 'obrigacoes', 'assumidas', 're', 'transferiu', 'alienacao', 'fiduciaria', 'bem', 'descrito', 'supramencionado', 'contrato', 'saber', 'auto', 'movel', 'marca', 'volkswagen', 'modelo', 'gol', 'highway', 'ii', 'ano', 'fabricacao', 'modelo', 'cor', 'prata', 'chassi', 'placas']",27
contrato,"1. O autor concedeu a(o) ré(u) um financiamento no valor de R$23.999,04 (vinte e três mil, novecentos e noventa e nove reais e quatro centavos), para ser restituído por meio de 48 prestações mensais, no valor de R$499,98, com vencimento final em 02/05/2017, mediante inclusa Cédula de Crédito Bancário nº2.967.906-5.",autor concedeu re financiamento valor vinte tres mil novecentos noventa nove reais quatro centavos ser restituido meio prestacoes mensais valor vencimento final mediante inclusa cedula credito bancario,"['autor', 'concedeu', 're', 'financiamento', 'valor', 'vinte', 'tres', 'mil', 'novecentos', 'noventa', 'nove', 'reais', 'quatro', 'centavos', 'ser', 'restituido', 'meio', 'prestacoes', 'mensais', 'valor', 'vencimento', 'final', 'mediante', 'inclusa', 'cedula', 'credito', 'bancario']",27
outros,"5. Assim, o débito vencido do réu, devidamente atualizado até 12/08/2019 pelos encargos contratados importa em R$ 43.018,43 (Quarenta e três mil, dezoito reais e quarenta e três centavos) (doc. nº 05), sendo que o valor total para fins de purgação da mora em R$ 45.298,18 (Quarenta e cinco mil, duzentos e noventa e oito reais e dezoito centavos).",assim debito vencido reu devidamente atualizado ate encargos contratados importa quarenta tres mil dezoito reais quarenta tres centavos doc sendo valor total fins purgacao mora quarenta cinco mil duzentos noventa oito reais dezoito centavos,"['assim', 'debito', 'vencido', 'reu', 'devidamente', 'atualizado', 'ate', 'encargos', 'contratados', 'importa', 'quarenta', 'tres', 'mil', 'dezoito', 'reais', 'quarenta', 'tres', 'centavos', 'doc', 'sendo', 'valor', 'total', 'fins', 'purgacao', 'mora', 'quarenta', 'cinco', 'mil', 'duzentos', 'noventa', 'oito', 'reais', 'dezoito', 'centavos']",34
constituicao_mora,"4. A autora, seguindo os procedimentos estabelecidos pela Lei 13.043/2014, constituiu a mora do réu, por meio da notificação formalizada por carta registrada com aviso de recebimento (doc. nº 04).",autora seguindo procedimentos estabelecidos lei constituiu mora reu meio notificacao formalizada carta registrada aviso recebimento doc,"['autora', 'seguindo', 'procedimentos', 'estabelecidos', 'lei', 'constituiu', 'mora', 'reu', 'meio', 'notificacao', 'formalizada', 'carta', 'registrada', 'aviso', 'recebimento', 'doc']",16
inadimplemento,"3. Ocorre, porém, que o réu tornou-se inadimplente, deixando de efetuar o pagamento das prestações a partir da parcela nº 01 á 31, com vencimento entre 28/01/2017 á 28/07/2019, incorrendo em mora desde então, nos termos do artigo 2º e § 2º, do Decreto-Lei 911/69, com as alterações da Lei 13.043/2014.",ocorre porem reu tornou inadimplente deixando efetuar pagamento prestacoes partir parcela vencimento incorrendo mora desde entao termos artigo SS decreto lei alteracoes lei,"['ocorre', 'porem', 'reu', 'tornou', 'inadimplente', 'deixando', 'efetuar', 'pagamento', 'prestacoes', 'partir', 'parcela', 'vencimento', 'incorrendo', 'mora', 'desde', 'entao', 'termos', 'artigo', 'SS', 'decreto', 'lei', 'alteracoes', 'lei']",23
alienacao_fiduciaria,"2. Em garantia das obrigações assumidas o réu transferiu em Alienação Fiduciária, o bem descrito no supramencionado contrato a saber: UM VEICULO PEUGEOT – MODELO 206 SW PRESENCE 1.4 8V FL – CHASSI 9362EKFW96B020719 – RENAVAM 880584874 – PLACA DSO6826 – ANO/MODELO 2005/2006 – COR PRETA.",garantia obrigacoes assumidas reu transferiu alienacao fiduciaria bem descrito supramencionado contrato saber veiculo peugeot modelo sw presence fl chassi renavam placa ano modelo cor preta,"['garantia', 'obrigacoes', 'assumidas', 'reu', 'transferiu', 'alienacao', 'fiduciaria', 'bem', 'descrito', 'supramencionado', 'contrato', 'saber', 'veiculo', 'peugeot', 'modelo', 'sw', 'presence', 'fl', 'chassi', 'renavam', 'placa', 'ano', 'modelo', 'cor', 'preta']",25
contrato,"1. A autora concedeu ao réu um financiamento no valor de R$ 16.414,2 (Dezesseis mil, quatrocentos e quatorze reais e vinte centavos), para ser restituído por meio de 36 (trinta e seis) prestações mensais, nos valores R$ 455,95 (Quatrocentos e cinquuenta e cinco reais e noventa e cinco centavos), com vencimento final em 28/12/2019, mediante Contrato de Financiamento nº 38106169, para Aquisição de Bens, garantido por Alienação Fiduciária, celebrado em 28/12/2016.",autora concedeu reu financiamento valor dezesseis mil quatrocentos quatorze reais vinte centavos ser restituido meio trinta seis prestacoes mensais valores quatrocentos cinquuenta cinco reais noventa cinco centavos vencimento final mediante contrato financiamento aquisicao bens garantido alienacao fiduciaria celebrado,"['autora', 'concedeu', 'reu', 'financiamento', 'valor', 'dezesseis', 'mil', 'quatrocentos', 'quatorze', 'reais', 'vinte', 'centavos', 'ser', 'restituido', 'meio', 'trinta', 'seis', 'prestacoes', 'mensais', 'valores', 'quatrocentos', 'cinquuenta', 'cinco', 'reais', 'noventa', 'cinco', 'centavos', 'vencimento', 'final', 'mediante', 'contrato', 'financiamento', 'aquisicao', 'bens', 'garantido', 'alienacao', 'fiduciaria', 'celebrado']",38
outros,"5. Assim, o débito vencido do réu, devidamente atualizado até 22/02/2018 pelos encargos contratados importa em R$ 5.885,40 (cinco mil, oitocentos e oitenta e cinco reais e quarenta centavos), (doc. nº 05), sendo que o valor total para fins de purgação da mora em R$ 25.937,76 (vinte e cinco mil, novecentos e trinta e sete reais e setenta e seis centavos).",assim debito vencido reu devidamente atualizado ate encargos contratados importa cinco mil oitocentos oitenta cinco reais quarenta centavos doc sendo valor total fins purgacao mora vinte cinco mil novecentos trinta sete reais setenta seis centavos,"['assim', 'debito', 'vencido', 'reu', 'devidamente', 'atualizado', 'ate', 'encargos', 'contratados', 'importa', 'cinco', 'mil', 'oitocentos', 'oitenta', 'cinco', 'reais', 'quarenta', 'centavos', 'doc', 'sendo', 'valor', 'total', 'fins', 'purgacao', 'mora', 'vinte', 'cinco', 'mil', 'novecentos', 'trinta', 'sete', 'reais', 'setenta', 'seis', 'centavos']",35
constituicao_mora,"4. O autor, seguindo os procedimentos estabelecidos pela Lei 13.043/2014, constituiu a mora do réu, por meio da notificação formalizada por carta registrada com aviso de recebimento (doc. nº 04).",autor seguindo procedimentos estabelecidos lei constituiu mora reu meio notificacao formalizada carta registrada aviso recebimento doc,"['autor', 'seguindo', 'procedimentos', 'estabelecidos', 'lei', 'constituiu', 'mora', 'reu', 'meio', 'notificacao', 'formalizada', 'carta', 'registrada', 'aviso', 'recebimento', 'doc']",16
inadimplemento,"3. Ocorre, porém, que o réu tornou-se inadimplente, deixando de efetuar o pagamento das prestações nº 03 a 06 com vencimento entre 21/11/2017 á 21/02/2018, incorrendo em mora desde então, nos termos do artigo 2º e § 2º, do Decreto-Lei 911/69, com as alterações da Lei 13.043/2014.",ocorre porem reu tornou inadimplente deixando efetuar pagamento prestacoes vencimento incorrendo mora desde entao termos artigo SS decreto lei alteracoes lei,"['ocorre', 'porem', 'reu', 'tornou', 'inadimplente', 'deixando', 'efetuar', 'pagamento', 'prestacoes', 'vencimento', 'incorrendo', 'mora', 'desde', 'entao', 'termos', 'artigo', 'SS', 'decreto', 'lei', 'alteracoes', 'lei']",21
alienacao_fiduciaria,"2. Em garantia das obrigações assumidas o réu transferiu em Alienação Fiduciária, o bem descrito no supramencionado contrato a saber: UM VEÍCULO MARCA/MODELO I/NISSAN SENTRA 20SV CVT - CHASSI Nº 3N1BB7AD2EL632881 – RENAVAM 01115166880 – PLACA FUD2098 – ANO/MODELO 2013/2014 – COR AZUL",garantia obrigacoes assumidas reu transferiu alienacao fiduciaria bem descrito supramencionado contrato saber veiculo marca modelo i nissan sentra cvt chassi renavam placa ano modelo cor azul,"['garantia', 'obrigacoes', 'assumidas', 'reu', 'transferiu', 'alienacao', 'fiduciaria', 'bem', 'descrito', 'supramencionado', 'contrato', 'saber', 'veiculo', 'marca', 'modelo', 'i', 'nissan', 'sentra', 'cvt', 'chassi', 'renavam', 'placa', 'ano', 'modelo', 'cor', 'azul']",26
contrato,"1. O autor concedeu ao réu um financiamento no valor de R$ 30.843,36 (trinta mil, oitocentos e quarenta e três reais e trinta e seis centavos), para ser restituído por meio de 24 prestações mensais, no valor de R$ 1.285,14 (um mil, duzentos e oitenta e cinco reais e quatorze centavos), com vencimento final em 21/08/2019 mediante Contrato de Financiamento para Aquisição de Bens, garantido por Alienação Fiduciária, sob o documento nº 200435729, celebrado em 21/08/2017.",autor concedeu reu financiamento valor trinta mil oitocentos quarenta tres reais trinta seis centavos ser restituido meio prestacoes mensais valor mil duzentos oitenta cinco reais quatorze centavos vencimento final mediante contrato financiamento aquisicao bens garantido alienacao fiduciaria sob documento celebrado,"['autor', 'concedeu', 'reu', 'financiamento', 'valor', 'trinta', 'mil', 'oitocentos', 'quarenta', 'tres', 'reais', 'trinta', 'seis', 'centavos', 'ser', 'restituido', 'meio', 'prestacoes', 'mensais', 'valor', 'mil', 'duzentos', 'oitenta', 'cinco', 'reais', 'quatorze', 'centavos', 'vencimento', 'final', 'mediante', 'contrato', 'financiamento', 'aquisicao', 'bens', 'garantido', 'alienacao', 'fiduciaria', 'sob', 'documento', 'celebrado']",40
